carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
UX,Bolivia,Italy,0,3,0
AV,Argentina,United States,1,2,1
FR,Republic of Ireland,France,1,0,1
UX,Portugal,Argentina,0,1,0
IX,United Arab Emirates,India,1,0,1
EI,Italy,United Kingdom,0,1,0
BA,United States,Italy,18,0,18
FR,Spain,Argentina,0,1,0
AY,Italy,South Korea,5,3,5
IB,France,Cuba,2,1,2
SQ,Japan,Indonesia,1,0,1
ET,Tanzania,Italy,4,0,4
F3,Saudi Arabia,Saudi Arabia,0,4,0
LX,United Kingdom,Italy,1,0,1
UK,India,Italy,0,1,0
AF,Croatia,Ghana,0,1,0
KE,Italy,,0,2,0
IB,Italy,Peru,13,24,13
VY,Spain,,0,2,0
IB,Italy,,2,10,2
AF,France,United Kingdom,1,3,1
OS,Italy,Thailand,10,6,10
6Y,Germany,Italy,0,1,0
EK,Poland,United Arab Emirates,1,0,1
U2,Switzerland,Albania,1,0,1
FR,Spain,Austria,0,3,0
FR,Hungary,,0,1,0
MU,Italy,China,0,1,0
EK,Italy,Tanzania,31,18,31
HV,Italy,Iceland,1,1,1
W6,Armenia,Italy,3,4,3
B6,United States,The Bahamas,0,2,0
FR,United Kingdom,United Kingdom,8,3,8
FR,Spain,Hungary,0,1,0
H2,Argentina,Spain,0,1,0
OB,Bolivia,Italy,0,2,0
JU,Italy,Uzbekistan,0,3,0
JQ,Australia,Indonesia,3,0,3
AZ,Italy,Sri Lanka,0,6,0
SV,Morocco,Saudi Arabia,0,2,0
FR,Netherlands,Spain,1,2,1
VY,Italy,Serbia,0,3,0
AC,United Kingdom,Costa Rica,0,1,0
IB,France,United States,0,2,0
WF,Italy,Norway,0,1,0
OS,Austria,Netherlands,2,0,2
GF,Germany,Thailand,0,1,0
W6,Italy,,0,51,0
W6,Italy,Nepal,0,5,0
"",Colombia,Colombia,17,6,17
FR,Republic of Ireland,Romania,0,4,0
EK,Austria,United Arab Emirates,1,0,1
W9,Spain,Netherlands,0,1,0
FZ,United Arab Emirates,Lebanon,0,1,0
NO,Italy,Oman,0,2,0
AA,Colombia,United States,1,0,1
VY,Italy,Spain,595,1108,589
ZB,Italy,Albania,0,31,0
AF,United Kingdom,Italy,2,0,2
PC,Turkey,Iraq,1,0,1
BA,United Kingdom,The Bahamas,1,2,1
AF,Italy,Thailand,0,1,0
FR,Italy,Faroe Islands,0,3,0
LO,Poland,Belgium,0,1,0
BA,Republic of Ireland,United States,0,1,0
VY,Italy,Denmark,2,2,2
FR,Sweden,Tunisia,0,1,0
WN,Mexico,United States,0,1,0
EY,Malaysia,Italy,1,0,1
N0,United States,Italy,8,10,8
E5,Egypt,Italy,10,10,10
TK,Bosnia and Herzegovina,Turkey,0,3,0
FI,Switzerland,United States,1,2,1
SQ,Italy,Taiwan,0,1,0
DY,Germany,Norway,0,3,0
SQ,Italy,Indonesia,2,5,2
XZ,Italy,Morocco,0,1,0
CZ,Italy,China,0,2,0
VY,Greece,Spain,0,4,0
AT,Italy,Cape Verde,2,0,2
BA,Italy,The Bahamas,1,2,1
FR,Spain,Malta,1,0,1
TG,Thailand,Indonesia,0,1,0
I5,India,Indonesia,0,1,0
EY,India,United Arab Emirates,0,1,0
RO,Romania,Greece,0,1,0
AZ,Italy,Laos,0,1,0
VU,Vietnam,Vietnam,0,2,0
MU,China,China,0,2,0
FR,Lithuania,Denmark,0,1,0
SN,Poland,,0,1,0
AF,Italy,Canada,18,4,18
5W,Serbia,United Arab Emirates,5,0,5
SQ,Italy,Australia,47,0,47
JL,Italy,Japan,0,4,0
CI,Italy,New Zealand,0,2,0
AM,Italy,Chile,0,1,0
DE,Germany,Egypt,1,0,1
AZ,Italy,Malaysia,0,1,0
PC,Turkey,Bosnia and Herzegovina,1,0,1
LH,Italy,Tanzania,0,1,0
SN,Belgium,Benin,1,1,1
U2,Italy,United Kingdom,361,78,357
I2,Spain,Italy,16,0,16
LH,Germany,India,1,0,1
5J,Philippines,South Korea,2,1,2
IB,Italy,Panama,8,6,8
SV,Italy,Pakistan,1,0,1
OZ,Italy,Vietnam,1,0,1
VY,United Kingdom,France,1,0,1
EK,Austria,Mauritius,2,0,2
2B,Albania,Portugal,0,1,0
FM,China,Italy,0,1,0
U2,Belgium,Switzerland,1,0,1
KL,Italy,Peru,18,24,18
GF,Kuwait,Bahrain,0,2,0
AZ,Brazil,Italy,4,6,4
KL,Italy,Tanzania,0,4,0
V7,Algeria,France,0,1,0
XZ,Italy,Germany,0,1,0
RJ,Italy,United Arab Emirates,4,1,4
LO,Poland,Denmark,2,0,2
IB,France,Italy,2,1,2
LH,Italy,El Salvador,0,5,0
VY,Italy,Colombia,1,0,1
PC,Norway,Republic of Kosovo,0,1,0
DM,Ecuador,Italy,0,1,0
ZA,Cambodia,Philippines,0,1,0
VY,Spain,Spain,72,45,71
AD,Brazil,Brazil,0,23,0
QR,Italy,Malaysia,13,34,13
WY,Italy,Australia,0,9,0
AZ,Italy,Guadeloupe,0,1,0
PC,Iraq,Italy,1,3,1
FZ,Italy,Sri Lanka,2,13,2
W9,Turkey,United Kingdom,1,0,1
FR,Italy,China,0,1,0
G3,Brazil,Germany,0,2,0
AZ,Italy,Singapore,0,2,0
U2,Netherlands,France,1,0,1
MH,Italy,Indonesia,0,3,0
5J,Australia,Philippines,1,0,1
SV,Italy,Thailand,17,71,17
IB,Portugal,Spain,1,0,1
UX,Italy,Venezuela,0,1,0
OS,Italy,Cyprus,6,3,6
W6,Belgium,Romania,0,5,0
XR,Germany,Egypt,0,1,0
W6,Netherlands,Italy,3,15,3
TP,Portugal,Belgium,0,1,0
NT,Spain,Spain,0,15,0
WT,Spain,Italy,0,1,0
FR,Belgium,Republic of Ireland,1,0,1
AV,Colombia,Mexico,1,0,1
W6,Albania,Egypt,0,1,0
AZ,Italy,Taiwan,0,1,0
MS,Italy,Egypt,0,89,0
AZ,Belgium,Italy,9,42,9
IB,Italy,United States,16,133,16
TP,Portugal,Cape Verde,5,0,5
AV,Curaçao,Aruba,0,1,0
TR,Vietnam,Singapore,0,1,0
WY,Italy,Singapore,0,3,0
MS,Italy,Saudi Arabia,0,2,0
SV,Jordan,Saudi Arabia,1,0,1
AF,Poland,South Africa,0,1,0
EY,United Arab Emirates,Indonesia,0,4,0
PD,United States,Canada,6,4,6
G9,Italy,Malaysia,18,3,18
UX,Italy,Mexico,6,14,6
TK,Italy,Pakistan,3,5,3
EY,Italy,South Korea,1,2,1
AI,Italy,India,0,15,0
V7,France,Belgium,2,1,2
LH,Argentina,Italy,0,1,0
SQ,Japan,Maldives,1,0,1
YT,Nepal,Nepal,1,0,1
TP,Italy,Nicaragua,0,1,0
EK,Indonesia,Italy,0,1,0
Y4,Mexico,Mexico,0,10,0
EK,Italy,Papua New Guinea,0,1,0
FR,United Kingdom,Belgium,2,0,2
W6,Netherlands,Lithuania,0,1,0
VJ,Indonesia,Vietnam,0,5,0
A3,Lebanon,Greece,1,0,1
PC,Morocco,Saudi Arabia,0,2,0
SQ,Italy,Maldives,2,1,2
AA,United States,Mexico,2,0,2
VY,Belgium,Spain,0,1,0
EK,Nepal,Italy,1,0,1
B6,United States,Aruba,0,1,0
FR,Cyprus,Italy,4,7,4
AF,Mexico,Italy,6,4,6
RS,Japan,South Korea,0,1,0
FR,Slovakia,Romania,0,1,0
BA,Ecuador,United States,0,1,0
LH,United Kingdom,,0,1,0
FR,Croatia,Cyprus,0,1,0
LH,Italy,Madagascar,0,1,0
IB,Italy,Japan,0,1,0
BT,Italy,Lithuania,0,1,0
G9,United Arab Emirates,Morocco,0,1,0
W6,Germany,Bulgaria,1,0,1
AA,United States,Spain,2,0,2
EN,Italy,United Kingdom,0,1,0
LH,Canada,Italy,5,0,5
AZ,Italy,Chile,0,6,0
AF,France,Guadeloupe,0,1,0
KU,France,Thailand,2,0,2
AF,Italy,Uruguay,0,4,0
OR,Netherlands,Cape Verde,1,0,1
H8,Peru,Italy,0,1,0
U2,Czech Republic,Italy,13,0,13
A3,Italy,France,0,2,0
QR,Italy,India,1,5,1
FR,Spain,Belgium,1,0,1
UA,Austria,,0,1,0
AV,Costa Rica,Italy,0,3,0
IB,Italy,Guatemala,1,0,1
FR,Poland,Belgium,1,0,1
FR,Italy,Armenia,0,1,0
