carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
TU,Italy,Turkey,0,20,0
DY,Denmark,United Kingdom,2,8,2
AT,Senegal,Italy,0,2,0
TK,Italy,Singapore,8,15,8
AR,Italy,Argentina,0,46,0
AS,United States,United States,0,10,0
EK,Malaysia,Turkey,0,0,0
ET,Indonesia,Argentina,0,3,0
LH,Italy,United States,144,198,143
FI,United States,Italy,1,3,1
FR,United Kingdom,France,1,1,1
IB,Spain,Greece,1,0,1
CA,Japan,Italy,0,11,0
UX,Portugal,Spain,2,3,2
BT,Latvia,Uzbekistan,0,0,0
SK,Italy,Spain,0,1,0
CZ,Italy,Vietnam,0,24,0
5F,Italy,Turkey,0,3,0
TK,Uzbekistan,Italy,0,0,0
TU,Belgium,Tunisia,0,0,0
QR,Italy,Thailand,60,95,59
UG,Italy,Tunisia,0,10,0
TG,Thailand,Germany,1,10,1
SQ,New Zealand,,0,2,0
CA,Hong Kong,Italy,0,0,0
G3,Brazil,Brazil,0,16,0
QR,Italy,Philippines,5,11,5
SM,Italy,Saudi Arabia,0,0,0
IB,Italy,Peru,20,16,20
AY,Italy,Australia,0,7,0
TK,Italy,Kyrgyzstan,3,13,3
KE,Spain,South Korea,0,0,0
GF,Italy,Philippines,0,17,0
NO,Italy,Madagascar,0,0,0
VY,Italy,Brazil,0,3,0
1L,Italy,Germany,0,2,0
AF,Italy,Panama,4,3,4
FR,Netherlands,Italy,26,37,26
OU,Croatia,Croatia,0,1,0
AM,Italy,Nicaragua,0,0,0
MU,Italy,Australia,0,17,0
IB,Spain,Spain,21,13,21
LO,Italy,Egypt,0,0,0
SK,Italy,Norway,14,45,14
AZ,Italy,Spain,179,100,177
DE,Germany,Spain,10,2,10
TU,Switzerland,Tunisia,0,2,0
MS,Egypt,Italy,2,17,2
FR,Spain,France,3,0,3
QR,India,Italy,2,0,2
FR,Portugal,Portugal,16,11,16
1L,Italy,Austria,0,0,0
JU,Greece,Slovenia,1,0,1
BF,United States,French Polynesia,0,0,0
WS,Canada,Canada,0,0,0
FZ,United Arab Emirates,Italy,6,2,6
AR,Argentina,,0,5,0
,Italy,United States,10,0,10
U2,Italy,Tunisia,1,3,1
TK,Italy,Hong Kong,0,2,0
SQ,Germany,Singapore,2,0,2
AF,Italy,Brazil,13,26,13
TS,Canada,Canada,0,4,0
AF,Italy,United Arab Emirates,3,0,3
LH,Italy,Tunisia,0,1,0
LA,Colombia,Ecuador,3,0,3
FR,Israel,Italy,8,5,8
SK,Italy,Republic of Ireland,0,2,0
LH,India,Germany,0,1,0
GF,Italy,Bangladesh,0,2,0
VY,Switzerland,Spain,1,2,1
LH,Spain,Hungary,2,0,2
QF,New Zealand,Italy,1,0,1
FR,Italy,Thailand,0,2,0
W6,Poland,Italy,15,21,15
CZ,Italy,China,0,10,0
,United States,Italy,8,0,8
LH,France,Germany,1,1,1
KL,Italy,France,3,1,3
PC,Italy,Kyrgyzstan,4,3,4
GE*,South Africa,South Africa,2,0,2
SV,Italy,Ethiopia,1,0,1
EI,Spain,Republic of Ireland,0,1,0
WS,Canada,United States,0,1,0
FR,Germany,,0,1,0
EN,Italy,China,0,1,0
TK,Italy,Afghanistan,0,3,0
OS,Italy,Republic of Macedonia,3,1,3
BA,Switzerland,United States,1,0,1
UX,Argentina,Italy,0,1,0
SQ,New Zealand,Singapore,1,0,1
BJ,France,Tunisia,4,1,4
AK,Malaysia,Singapore,0,2,0
VY,Italy,Bolivia,1,0,1
U2,Greece,Iceland,1,0,1
AF,Italy,South Africa,4,1,4
TP,Italy,French Polynesia,0,1,0
IB,Belgium,Spain,0,1,0
PU,Peru,Spain,0,1,0
LH,Italy,Italy,1,0,1
VY,Republic of Ireland,Tunisia,0,1,0
HV,France,Germany,1,0,1
TR,Singapore,Germany,2,0,2
A3,Greece,Switzerland,2,0,2
DX,Denmark,Denmark,0,6,0
AM,Mexico,Mexico,0,11,0
GF,Italy,United Arab Emirates,0,4,0
AC,Italy,United States,14,8,14
LH,Italy,Puerto Rico,0,1,0
HT,Italy,Turkey,0,2,0
IB,United Kingdom,United States,0,4,0
QS,Czech Republic,Greece,0,2,0
AF,France,Costa Rica,1,0,1
W6,Italy,Malaysia,0,3,0
FR,Netherlands,Spain,0,1,0
3F,Italy,Armenia,0,1,0
LA,Ecuador,Colombia,1,1,1
PR,Philippines,Hong Kong,0,1,0
TP,Brazil,Italy,8,68,8
MS,Italy,Kenya,3,3,3
4Z,South Africa,South Africa,3,2,3
UX,Italy,Guatemala,0,1,0
5W,Egypt,Saudi Arabia,0,1,0
UA,The Bahamas,Italy,1,0,1
W6,Kuwait,Italy,1,1,1
KL,Norway,,0,1,0
HC,Ivory Coast,Italy,0,1,0
U2,Spain,Italy,153,10,151
KL,Italy,Thailand,8,14,8
LH,Italy,Argentina,2,5,2
WN,United States,United States,0,6,0
OS,Spain,Austria,2,1,2
W4,Italy,Tanzania,0,1,0
QR,Kenya,Italy,2,0,2
U2,Switzerland,Netherlands,1,0,1
GF,France,Spain,0,1,0
XQ,Turkey,Belgium,1,0,1
F9,United States,Italy,0,1,0
G9,Italy,Nepal,0,1,0
GQ,Greece,Italy,9,7,9
AK,Malaysia,Malaysia,0,9,0
KM,Italy,Malta,0,402,0
AF,Italy,France,177,167,175
W4,Georgia,Italy,4,3,4
DL,Italy,Peru,3,0,3
LA,Colombia,Italy,0,10,0
FR,Cyprus,Italy,11,8,11
W6,Poland,Netherlands,3,1,3
VY,Spain,Portugal,0,3,0
AZ,Italy,Portugal,3,7,3
EK,Italy,Vietnam,1,0,1
VY,Chile,Italy,0,3,0
TK,Bangladesh,Italy,0,2,0
BT,Italy,Estonia,0,4,0
W6,Hungary,Republic of Macedonia,2,0,2
AF,France,Germany,1,2,1
FR,Netherlands,Poland,1,0,1
XK,France,Italy,0,1,0
EN,Italy,Mexico,0,1,0
W4,Italy,Iceland,82,129,81
TK,Albania,Turkey,0,5,0
SQ,Italy,Philippines,9,1,9
LX,Italy,Singapore,9,2,9
FR,Germany,Spain,7,6,7
W4,Sweden,Pakistan,0,3,0
E4*,France,Italy,0,1,0
AC,Italy,,0,4,0
AZ,Italy,Canada,0,2,0
WE,Singapore,Thailand,1,0,1
TK,Turkey,United Arab Emirates,1,0,1
MS,Italy,Lebanon,0,1,0
DY,Denmark,France,2,0,2
SV,Saudi Arabia,Saudi Arabia,2,0,2
TP,Mexico,Italy,1,0,1
IB,Switzerland,Mexico,0,1,0
BA,Italy,China,2,2,2
AV,Brazil,Mexico,1,0,1
FR,Italy,Israel,27,27,27
BJ,Italy,Tunisia,10,9,10
3O,Morocco,Morocco,2,0,2
